STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-31,2.46,0.04,0,0,52,42,110,120,12.1,13,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-01,13.65,0.1,0,0,76,51,310,320,29.1,38,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-02,13.2,0,0,0,59,44,330,330,29.1,36,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-03,6.71,0.66,0,0,51,40,190,190,23,28,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-04,7.16,0.09,0,0,64,42,200,210,23.9,31.1,1,,,,,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-05,9.4,0.01,0,0,65,51,340,340,21.9,25.9,1,,,,1,,1,1,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-06,11.18,0.37,0,0,51,46,40,40,21,23.9,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-07,7.83,0,0,0,49,44,60,70,14.1,16.1,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-08,6.71,0,0,0,54,46,50,80,15,29.1,1,,,,,,,,,,1,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-09,4.47,0,0,0,67,48,120,120,15,17,1,,,,,,1,1,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-10,3.13,0,0,0,76,52,120,160,12.1,14.1,1,1,,,,,1,1,1,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-11,9.84,0.09,0,0,82,57,300,290,36.9,48.1,0,,,,1,,,1,,1,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-12,8.95,0.23,0,0,75,55,330,330,31.1,38,1,,1,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-13,10.29,0.01,0,0,56,46,330,340,17.9,23,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-14,10.07,0.01,0,0,58,41,10,10,17,29.1,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-15,9.62,0,0,0,61,43,20,330,23,34.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-16,3.58,0,0,0,70,43,120,120,14.1,16.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-17,2.91,0,0,0,77,46,170,170,8.1,12.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-18,3.36,0,0,0,85,52,10,310,8.9,13,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-19,7.61,0,0,0,82,56,120,160,17,23,0,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-20,8.05,1.4,0,0,67,59,220,220,30,38,1,,1,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-21,13.65,0.67,0,0,63,58,50,150,21,29.1,1,,1,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-22,10.74,0,0,0,72,56,60,50,21,23.9,1,,,,,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-23,5.59,0,0,0,75,57,170,170,13,14.1,1,,,,,,1,1,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-24,4.92,0,0,0,79,58,340,340,13,16.1,1,,,,,,,,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-25,4.47,0,0,0,81,56,160,80,13,19.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-26,6.26,0.26,0,0,84,59,50,40,21,25.1,1,,1,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-27,10.29,0.06,0,0,59,53,50,50,17,19.9,1,,,,1,,1,1,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-28,4.7,0.96,0,0,65,52,290,290,21,28,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-29,12.3,0,0,0,62,51,340,340,23,33.1,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-04-30,5.59,0,0,0,61,45,290,300,14.1,19.9,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-01,4.92,0.04,0,0,71,48,100,160,15,25.1,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-02,10.07,0,0,0,81,55,200,190,17,23.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-03,10.07,0,0,0,83,60,200,200,23.9,31.1,1,,,,1,,1,1,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-04,9.84,0,0,0,73,59,330,310,21.9,28,1,,,,,,1,1,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-05,5.37,0,0,0,73,52,110,50,13,16.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-06,6.26,0,0,0,79,55,320,330,17,21.9,1,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-07,10.96,0,0,0,82,56,200,200,21,25.9,0,,,,1,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-08,10.29,1.32,0,0,75,63,200,220,17.9,25.1,1,,1,,1,,,1,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-09,9.84,2.22,0,0,66,55,350,350,21.9,28,1,,1,,1,,,,,,,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-10,6.04,0.22,0,0,67,52,360,10,17.9,21.9,1,,,,1,,,1,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-11,12.3,2.63,0,0,63,50,360,360,33.1,42.9,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-12,19.69,1.32,0,0,52,48,360,360,38.9,49,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-13,8.05,0,0,0,74,48,350,350,21.9,23.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-14,7.61,0,0,0,75,51,190,200,17,21.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-15,5.82,0.29,0,0,80,59,200,200,16.1,19.9,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-16,12.3,0.53,0,0,74,55,320,320,25.9,36,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-17,11.41,0.01,0,0,77,51,220,310,21.9,30,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-18,9.62,0.05,0,0,70,57,230,230,17.9,23,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-19,9.84,0,0,0,70,53,280,290,28,33.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-20,6.26,0.58,0,0,63,52,320,320,25.1,32,1,,,,1,,,,,,,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-21,6.71,0,0,0,72,51,310,320,38,53.9,0,,,,1,,,,,1,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-22,11.41,0,0,0,71,51,280,330,25.1,32,0,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-23,8.05,0,0,0,72,52,340,290,17,25.9,0,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-24,8.05,0,0,0,75,54,330,320,17.9,23,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-25,6.71,0,0,0,78,56,40,40,15,17.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-26,11.63,0,0,0,85,59,190,190,19.9,25.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-27,8.28,0,0,0,83,69,30,20,23,25.9,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-28,10.74,0,0,0,73,57,10,360,29.1,34.9,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-05-29,7.83,0,0,0,77,53,210,190,14.1,23,0,,,,,,,,,,,,,,,,,
