START_DATE,CCN
2018-12-29,90
2018-12-30,104
2018-12-31,98
2019-01-01,93
2019-01-02,91
2019-01-03,86
2019-01-04,86
2019-01-05,94
2019-01-06,96
2019-01-07,93
2019-01-08,79
2019-01-09,71
2019-01-10,97
2019-01-11,93
2019-01-12,83
2019-01-13,51
2019-01-14,76
2019-01-15,103
2019-01-16,75
2019-01-17,69
2019-01-18,87
2019-01-19,70
2019-01-20,118
2019-01-21,89
2019-01-22,111
2019-01-23,99
2019-01-24,112
2019-01-25,95
2019-01-26,74
2019-01-27,72
2019-01-28,82
2019-01-29,59
2019-01-30,68
2019-01-31,67
2019-02-01,62
2019-02-02,59
2019-02-03,80
2019-02-04,98
2019-02-05,79
2019-02-06,75
2019-02-07,88
2019-02-08,122
2019-02-09,93
2019-02-10,86
2019-02-11,69
2019-02-12,88
2019-02-13,90
2019-02-14,100
2019-02-15,105
2019-02-16,75
2019-02-17,64
2019-02-18,88
2019-02-19,81
2019-02-20,43
2019-02-21,77
2019-02-22,94
2019-02-23,71
2019-02-24,62
2019-02-25,81
2019-02-26,96
2019-02-27,70
2019-02-28,83
2019-03-01,80
2019-03-02,73
2019-03-03,75
2019-03-04,86
2019-03-05,70
2019-03-06,86
2019-03-07,80
2019-03-08,69
2019-03-09,76
2019-03-10,68
2019-03-11,85
2019-03-12,71
2019-03-13,66
2019-03-14,75
2019-03-15,89
2019-03-16,88
2019-03-17,77
2019-03-18,91
2019-03-19,73
2019-03-20,87
2019-03-21,53
2019-03-22,80
2019-03-23,101
2019-03-24,71
2019-03-25,83
2019-03-26,87
2019-03-27,73
2019-03-28,82
2019-03-29,81
2019-03-30,95
2019-03-31,60
2019-04-01,92
2019-04-02,82
2019-04-03,69
2019-04-04,81
2019-04-05,78
2019-04-06,88
2019-04-07,76
2019-04-08,95
2019-04-09,88
2019-04-10,78
2019-04-11,74
2019-04-12,85
2019-04-13,74
2019-04-14,88
2019-04-15,96
2019-04-16,80
2019-04-17,93
2019-04-18,77
2019-04-19,85
2019-04-20,93
2019-04-21,75
2019-04-22,86
2019-04-23,90
2019-04-24,98
2019-04-25,94
2019-04-26,81
2019-04-27,85
2019-04-28,92
2019-04-29,97
2019-04-30,64
2019-05-01,77
2019-05-02,71
2019-05-03,96
2019-05-04,59
2019-05-05,71
2019-05-06,99
2019-05-07,86
2019-05-08,81
2019-05-09,93
2019-05-10,85
2019-05-11,82
2019-05-12,62
2019-05-13,70
2019-05-14,84
2019-05-15,89
2019-05-16,78
2019-05-17,85
2019-05-18,100
2019-05-19,83
2019-05-20,89
2019-05-21,87
2019-05-22,119
2019-05-23,101
2019-05-24,93
2019-05-25,91
2019-05-26,81
2019-05-27,98
2019-05-28,101
2019-05-29,104
2019-05-30,99
2019-05-31,81
2019-06-01,97
2019-06-02,90
2019-06-03,90
2019-06-04,80
2019-06-05,83
2019-06-06,81
2019-06-07,96
2019-06-08,97
2019-06-09,108
2019-06-10,98
2019-06-11,93
2019-06-12,98
2019-06-13,89
2019-06-14,100
2019-06-15,87
2019-06-16,112
2019-06-17,86
2019-06-18,99
2019-06-19,88
2019-06-20,98
2019-06-21,106
2019-06-22,100
2019-06-23,98
2019-06-24,99
2019-06-25,108
2019-06-26,92
2019-06-27,87
2019-06-28,108
2019-06-29,111
2019-06-30,65
2019-07-01,80
2019-07-02,89
2019-07-03,59
2019-07-04,75
2019-07-05,107
2019-07-06,93
2019-07-07,85
2019-07-08,101
2019-07-09,97
2019-07-10,92
2019-07-11,85
2019-07-12,81
2019-07-13,91
2019-07-14,99
2019-07-15,110
2019-07-16,84
2019-07-17,97
2019-07-18,73
2019-07-19,88
2019-07-20,95
2019-07-21,88
2019-07-22,114
2019-07-23,96
2019-07-24,104
2019-07-25,106
2019-07-26,122
2019-07-27,118
2019-07-28,109
2019-07-29,106
2019-07-30,123
2019-07-31,90
2019-08-01,77
2019-08-02,85
2019-08-03,92
2019-08-04,90
2019-08-05,108
2019-08-06,90
2019-08-07,98
2019-08-08,95
2019-08-09,94
2019-08-10,85
2019-08-11,78
2019-08-12,93
