,index,DATE,CCN,STATION,NAME,PRCP,TMAX,TMIN,Day,Date,Month,Year,Illum
162,162,2008-06-11,97,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.94,96.0,68.0,5,6,11,2008,0.51
163,163,2008-06-12,116,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,88.0,65.0,7,6,12,2008,0.53
164,164,2008-06-13,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,91.0,66.0,6,13,6,2008,0.75
165,165,2008-06-14,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,89.0,70.0,7,14,6,2008,0.82
166,166,2008-06-15,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.14,90.0,69.0,1,15,6,2008,0.89
167,167,2008-06-16,117,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,86.0,66.0,2,16,6,2008,0.94
168,168,2008-06-17,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.77,86.0,62.0,3,17,6,2008,0.98
169,169,2008-06-18,104,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,78.0,56.0,4,18,6,2008,1.0
170,170,2008-06-19,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.04,80.0,55.0,5,19,6,2008,1.0
171,171,2008-06-20,114,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,79.0,60.0,6,20,6,2008,0.98
172,172,2008-06-21,119,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.04,83.0,64.0,7,21,6,2008,0.94
173,173,2008-06-22,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,86.0,66.0,1,22,6,2008,0.89
174,174,2008-06-23,120,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.03,87.0,67.0,2,23,6,2008,0.82
175,175,2008-06-24,82,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.04,87.0,59.0,3,24,6,2008,0.74
176,176,2008-06-25,116,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,83.0,63.0,4,25,6,2008,0.64
177,177,2008-06-26,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,86.0,70.0,5,26,6,2008,0.53
178,178,2008-06-27,109,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,93.0,72.0,6,27,6,2008,0.42
179,179,2008-06-28,126,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.19,91.0,69.0,7,28,6,2008,0.31
180,180,2008-06-29,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.67,90.0,69.0,1,29,6,2008,0.21
181,181,2008-06-30,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,87.0,71.0,2,30,6,2008,0.12
182,182,2008-07-01,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.09,83.0,62.0,2,7,1,2008,0.02
183,183,2008-07-02,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,81.0,67.0,5,7,2,2008,0.0
184,184,2008-07-03,121,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,85.0,65.0,6,7,3,2008,0.0
185,185,2008-07-04,85,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,91.0,71.0,2,7,4,2008,0.02
186,186,2008-07-05,102,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.18,91.0,69.0,4,7,5,2008,0.05
187,187,2008-07-06,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.03,81.0,69.0,7,7,6,2008,0.16
188,188,2008-07-07,111,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.1,84.0,69.0,2,7,7,2008,0.21
189,189,2008-07-08,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,85.0,70.0,5,7,8,2008,0.34
190,190,2008-07-09,109,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,90.0,73.0,1,7,9,2008,0.47
191,191,2008-07-10,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.09,85.0,73.0,3,7,10,2008,0.49
192,192,2008-07-11,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,86.0,65.0,6,7,11,2008,0.6
193,193,2008-07-12,129,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,88.0,69.0,1,7,12,2008,0.64
194,194,2008-07-13,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,91.0,70.0,1,13,7,2008,0.78
195,195,2008-07-14,106,USC00186350,"NATIONAL ARBORETUM DC, MD US",1.3,91.0,68.0,2,14,7,2008,0.85
196,196,2008-07-15,118,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,85.0,65.0,3,15,7,2008,0.91
197,197,2008-07-16,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,89.0,66.0,4,16,7,2008,0.96
198,198,2008-07-17,117,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,91.0,67.0,5,17,7,2008,0.99
199,199,2008-07-18,114,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,95.0,74.0,6,18,7,2008,1.0
200,200,2008-07-19,111,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,93.0,72.0,7,19,7,2008,0.99
201,201,2008-07-20,124,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,94.0,76.0,1,20,7,2008,0.97
202,202,2008-07-21,110,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.12,94.0,71.0,2,21,7,2008,0.92
203,203,2008-07-22,131,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,93.0,72.0,3,22,7,2008,0.85
204,204,2008-07-23,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,91.0,74.0,4,23,7,2008,0.77
205,205,2008-07-24,106,USC00186350,"NATIONAL ARBORETUM DC, MD US",2.02,86.0,64.0,5,24,7,2008,0.67
206,206,2008-07-25,132,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,84.0,62.0,6,25,7,2008,0.57
207,207,2008-07-26,107,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,88.0,69.0,7,26,7,2008,0.45
208,208,2008-07-27,118,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,89.0,73.0,1,27,7,2008,0.34
209,209,2008-07-28,125,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.77,90.0,64.0,2,28,7,2008,0.23
210,210,2008-07-29,99,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.02,87.0,67.0,3,29,7,2008,0.14
